country,gdp2017,leb2017,pop2017,gpc2017
Aruba,2700558659.22,76.01,105366.0,25630.2664922
Afghanistan,20191764940.2,64.13,36296400.0,556.302138509
Angola,1.22123822334e+11,60.379,29816748.0,4095.81294156
Albania,13025064966.6,78.333,2873457.0,4532.89016212
United Arab Emirates,3.77701060177e+11,77.647,9487203.0,39811.6347018
Argentina,6.42695864756e+11,76.372,44044811.0,14591.8633811
Armenia,11527458565.7,74.797,2944809.0,3914.50126841
Antigua and Barbuda,1467977777.78,76.752,95426.0,15383.4151885
Australia,1.33013575684e+12,82.4975609756,24601860.0,54066.4712686
Austria,4.17282900758e+11,81.6414634146,8797566.0,47431.6306076
Azerbaijan,40865558912.4,72.693,9854033.0,4147.08971569
Burundi,3172292379.36,60.898,10827024.0,292.997630684
Belgium,5.03004504395e+11,81.4390243902,11375158.0,44219.561996
Benin,9269594834.78,61.174,11175204.0,829.478802783
Burkina Faso,12330338343.3,60.768,19193284.0,642.42983865
Bangladesh,2.49723862487e+11,72.052,159670593.0,1563.99408179
Bulgaria,58220973782.8,74.812195122,7075947.0,8228.01156973
Bahrain,35432686170.2,77.032,1494074.0,23715.4827473
"Bahamas, The",12150400000.0,73.554,381761.0,31827.242699
Bosnia and Herzegovina,18080118128.4,77.128,3351527.0,5394.59122018
Belarus,54726595249.2,74.1292682927,9498264.0,5761.74712023
Belize,1836593466.18,74.365,375769.0,4887.55982048
Bolivia,37508642257.6,70.945,11192854.0,3351.12405269
Brazil,2.05359497399e+12,75.456,207833831.0,9880.94654326
Barbados,4989500000.0,78.981,286233.0,17431.6029249
Brunei Darussalam,12128104859.1,75.585,424473.0,28572.1467777
Bhutan,2528007911.35,71.129,745568.0,3390.71407484
Botswana,17405538618.4,68.812,2205128.0,7893.21010771
Central African Republic,2067230996.47,52.24,4596028.0,449.78642351
Canada,1.64686722062e+12,82.2489756098,36540268.0,45069.9272544
Switzerland,6.79950915261e+11,83.6024390244,8451840.0,80450.0458197
Chile,2.77746461078e+11,79.909,18470439.0,15037.3502805
China,1.21434914482e+13,76.47,1386395000.0,8759.04157775
Cote d'Ivoire,38053606750.5,57.017,24437469.0,1557.18281425
Cameroon,34922782310.6,58.511,24566045.0,1421.58749244
"Congo, Dem. Rep.",38019265625.9,60.026,81398764.0,467.074237465
"Congo, Rep.",8701334800.22,63.954,5110702.0,1702.57134934
Colombia,3.11789874617e+11,76.925,48901066.0,6375.93206285
Comoros,1074778460.96,63.912,813892.0,1320.54186668
Cabo Verde,1769787215.42,72.57,537497.0,3292.64575509
Costa Rica,58174549218.3,79.914,4949954.0,11752.5434011
Cuba,96851000000.0,78.662,11339259.0,8541.21067347
Curacao,3116610111.73,78.0170731707,160175.0,19457.5315232
Cyprus,22638608224.1,80.672,1179680.0,19190.4654009
Czech Republic,2.15913545038e+11,79.4756097561,10594438.0,20379.8960396
Germany,3.65674941448e+12,80.9902439024,82657002.0,44240.04411
Djibouti,2766868072.25,65.893,944097.0,2930.70317165
Denmark,3.29417067128e+11,81.0048780488,5764980.0,57141.059835
Dominican Republic,79998045976.5,73.689,10513131.0,7609.34549151
Algeria,1.67390266101e+11,76.499,41389198.0,4044.29837227
Ecuador,1.04295862e+11,76.584,16785361.0,6213.5012765
"Egypt, Arab Rep.",2.35369129338e+11,71.656,96442593.0,2440.51017311
Spain,1.30930964231e+12,83.3292682927,46593236.0,28100.8522848
Estonia,26792757827.3,77.6414634146,1317384.0,20337.8497289
Ethiopia,81760441158.8,65.872,106400024.0,768.425025532
Finland,2.54435041879e+11,81.4292682927,5508214.0,46191.9311558
Fiji,5353404418.66,67.252,877459.0,6101.03083866
France,2.58628540656e+12,82.5243902439,66865144.0,38679.1271482
"Micronesia, Fed. Sts.",366666808.576,67.618,111459.0,3289.70122266
Gabon,14892609693.2,65.839,2064823.0,7212.53574431
United Kingdom,2.66622917996e+12,81.156097561,66058859.0,40361.4173832
Georgia,16242956764.3,73.414,3728004.0,4357.01162453
Ghana,58996776237.8,63.463,29121471.0,2025.88585713
Guinea,10324668266.6,60.706,12067539.0,855.573639877
"Gambia, The",1504954957.89,61.44,2213894.0,679.777332561
Guinea-Bissau,1346841897.0,57.673,1828146.0,736.725566232
Equatorial Guinea,12289913729.3,58.061,1262001.0,9738.43422417
Greece,2.03085551429e+11,81.387804878,10754679.0,18883.4600669
Grenada,1126882296.3,72.388,110874.0,10163.6298528
Guatemala,75620081928.2,73.81,16914936.0,4470.60999392
Guam,5851000000.0,79.631,164281.0,35615.8046274
Guyana,3555205811.14,69.624,775221.0,4586.05457171
"Hong Kong SAR, China",3.41687111841e+11,84.6804878049,7391700.0,46225.781869
Honduras,23100748921.7,74.898,9429013.0,2449.96469108
Croatia,55319620157.6,77.8268292683,4124531.0,13412.3419505
Haiti,8409497402.46,63.29,10982366.0,765.727294324
Hungary,1.4151058302e+11,76.0634146341,9787966.0,14457.6087636
Indonesia,1.01542345578e+12,71.282,264645886.0,3836.91381389
India,2.65224285792e+12,69.165,1338658835.0,1981.2687061
Ireland,3.34834010486e+11,81.956097561,4807388.0,69649.88274
"Iran, Islamic Rep.",4.54012768724e+11,76.271,80673951.0,5627.74926845
Iraq,1.95473049875e+11,70.294,37552781.0,5205.28825482
Iceland,24489493459.0,82.2048780488,343400.0,71314.7741963
Israel,3.53253406955e+11,82.6024390244,8713300.0,40541.8620907
Italy,1.95696061169e+12,83.243902439,60536709.0,32326.8417464
Jamaica,14806340821.1,74.267,2920853.0,5069.18383811
Jordan,40708943662.0,74.292,9779173.0,4162.82068657
Japan,4.85995055854e+12,84.0997560976,126785797.0,38331.9793978
Kazakhstan,1.66805800596e+11,72.95,18037776.0,9247.5813313
Kenya,78757391333.0,65.909,50221473.0,1568.20154066
Kyrgyz Republic,7702934800.13,71.2,6198200.0,1242.76964282
Cambodia,22180376505.7,69.289,16009414.0,1385.45836254
Kiribati,185572501.533,67.851,114158.0,1625.57596956
"Korea, Rep.",1.53075092315e+12,82.6268292683,51466201.0,29742.8388613
Kuwait,1.2070755028e+11,75.311,4056097.0,29759.5324471
Lao PDR,16853087485.4,67.277,6953035.0,2423.84620319
Lebanon,53393799668.3,78.833,6811873.0,7838.3433849
Liberia,3285455000.0,63.295,4702228.0,698.701764355
Libya,37881431912.8,72.52,6580724.0,5756.42314018
St. Lucia,1816728740.74,75.907,180955.0,10039.6714141
Sri Lanka,88019706803.8,76.648,21444000.0,4104.6309832
Lesotho,2565352373.27,52.947,2091412.0,1226.61262978
Lithuania,47632961168.4,74.6707317073,2828403.0,16840.938568
Luxembourg,64023412339.7,82.6853658537,596336.0,107361.306947
Latvia,30198231776.4,74.6804878049,1942248.0,15548.0823131
"Macao SAR, China",50751059058.1,83.989,622585.0,81516.6749248
Morocco,1.09714300454e+11,76.218,35581294.0,3083.4825865
Moldova,9669759987.03,71.717,3549196.0,2724.49309281
Madagascar,13176313593.6,66.311,25570540.0,515.29273897
Maldives,4735989972.05,78.325,496402.0,9540.63434888
Mexico,1.15773619e+12,74.947,124777324.0,9278.41816834
North Macedonia,11279509013.9,75.589,2081996.0,5417.64201944
Mali,15337740140.9,58.452,18512394.0,828.511976402
Malta,12768671649.8,82.4536585366,467999.0,27283.5447293
Myanmar,66719084253.5,66.558,53382581.0,1249.8287457
Montenegro,4844592066.71,76.667,622373.0,7784.06528997
Mongolia,11425755279.5,69.509,3113779.0,3669.4175404
Mozambique,13219084261.4,59.309,28649007.0,461.415094121
Mauritania,4905893854.75,64.464,4282574.0,1145.54794727
Mauritius,13259351418.4,74.5146341463,1264613.0,10484.908362
Malawi,6303292264.19,63.279,17670260.0,356.717573153
Malaysia,3.18958236443e+11,75.828,31105028.0,10254.2340243
Namibia,13566192144.5,63.021,2402603.0,5646.45600811
Niger,8119710126.33,61.599,21602472.0,375.869489674
Nigeria,3.75745486521e+11,53.95,190873311.0,1968.55958831
Nicaragua,13843612005.0,74.068,6384855.0,2168.19520646
Netherlands,8.31809944961e+11,81.5609756098,17131296.0,48554.9922762
Norway,3.98393955269e+11,82.5097560976,5276968.0,75496.7540582
Nepal,25180583769.9,70.169,27627124.0,911.444266509
New Zealand,2.02590814085e+11,81.6585365854,4793900.0,42260.1251768
Oman,70597919375.8,77.393,4665935.0,15130.4978264
Pakistan,3.04567253219e+11,66.947,207896686.0,1464.99330547
Panama,62283800000.0,78.149,4106771.0,15166.1244321
Peru,2.11007207484e+11,76.286,31444297.0,6710.50802896
Philippines,3.1361974774e+11,70.952,105173264.0,2981.93415144
Papua New Guinea,22742613549.4,64.01,8438029.0,2695.2518828
Poland,5.26216495118e+11,77.8512195122,37974826.0,13856.9823893
Puerto Rico,1.042502e+11,79.6345365854,3325001.0,31353.4341794
Portugal,2.20811110492e+11,81.1243902439,10300300.0,21437.3475037
Paraguay,39008900331.7,73.992,6867062.0,5680.58076826
West Bank and Gaza,14498100000.0,73.74,4454805.0,3254.48588659
Qatar,1.66928571429e+11,79.981,2724724.0,61264.3964778
Romania,2.11695422579e+11,75.3097560976,19587491.0,10807.6844849
Russian Federation,1.57862406059e+12,72.1190243902,144496740.0,10924.9804569
Rwanda,9140429057.89,68.341,11980937.0,762.914374551
Saudi Arabia,6.88586133333e+11,74.874,33099147.0,20803.7425657
Sudan,1.23053386001e+11,64.881,40813396.0,3015.02442975
Senegal,21081669870.0,67.38,15419381.0,1367.21894802
Singapore,3.38406474039e+11,82.8951219512,5612253.0,60297.7937806
Solomon Islands,1309631135.23,72.645,636038.0,2059.04542689
Sierra Leone,3739577973.24,53.895,7488431.0,499.38070782
El Salvador,24928000000.0,72.872,6388122.0,3902.24231785
Somalia,4508845348.33,56.709,14589119.0,309.05535477
Serbia,44120424391.9,76.087804878,7020858.0,6284.19267159
Sao Tome and Principe,375040173.817,69.933,207089.0,1811.00963265
Suriname,3068766109.75,71.463,570496.0,5379.11941495
Slovak Republic,95241436351.8,77.1658536585,5439232.0,17510.088989
Slovenia,48441722815.6,81.1756097561,2066388.0,23442.7042819
Sweden,5.40545236388e+11,82.3073170732,10057698.0,53744.4290321
Eswatini,4446248678.17,58.319,1124753.0,3953.08896991
Seychelles,1503168689.82,74.3,95843.0,15683.6564989
Chad,9975692095.41,53.712,15016773.0,664.303315726
Togo,4808043652.62,60.489,7698475.0,624.54494593
Thailand,4.55275517239e+11,76.683,69209858.0,6578.18886494
Tajikistan,7157865188.25,70.647,8880268.0,806.041573098
Turkmenistan,37926285714.3,67.956,5757669.0,6587.09031629
Timor-Leste,2487269400.0,69.007,1243261.0,2000.60116098
Tonga,430174168.74,70.701,101998.0,4217.4765068
Trinidad and Tobago,22474828527.2,73.245,1384072.0,16238.1931917
Tunisia,39813383483.5,76.31,11433443.0,3482.18672919
Turkey,8.52676778301e+11,77.161,81101892.0,10513.6484153
Tanzania,53320625958.6,64.479,54663906.0,975.426563161
Uganda,25995031850.2,62.516,41162465.0,631.522719792
Ukraine,1.12190355158e+11,71.7809756098,44831135.0,2502.50981061
Uruguay,56488991831.0,77.632,3436646.0,16437.2448693
United States,1.9485393853e+13,78.5390243902,325147121.0,59927.929834
Uzbekistan,59159945320.6,71.388,32388600.0,1826.56691924
St. Vincent and the Grenadines,792177777.778,72.3,109827.0,7212.96018081
Virgin Islands (U.S.),3855000000.0,79.4195121951,107268.0,35938.0243875
Vietnam,2.23779865815e+11,75.241,94596642.0,2365.62166567
Vanuatu,880043553.748,70.172,285510.0,3082.35632289
Samoa,831903814.094,73.046,195352.0,4258.48629189
Kosovo,7227700022.54,71.9463414634,1830700.0,3948.05266976
"Yemen, Rep.",26818703092.6,66.086,27834821.0,963.494720968
South Africa,3.49554116684e+11,63.538,57000451.0,6132.47984097
Zambia,25868142076.8,63.043,16853688.0,1534.86537052
Zimbabwe,22813010116.1,60.812,14236745.0,1602.40350699
